1	4
2	10
3	32
4	20
5	42
6	8
7	5
8	14
9	68
10	16
11	6
12	11
13	7
14	22
15	27
16	6
17	8
18	13
19	33
20	23
21	7
22	8
23	6
24	34
25	38
26	12
27	6
28	42
29	12
30	12
31	17
32	5
33	14
34	34
35	21
36	17
37	6
38	6
39	35
40	18
41	25
42	7
43	7
44	7
45.00	120
46	10
47	6
48	6
49	6
50	17
51	27
52	6
53	7
54	6
55	8
56	33
57	27
58	7
59	7
60	24
61	19
62	34
63	7
64	45
65	13
66	40
67	6
68	18
69	14
70	60
71	36
72	40
73	6
74	7
75	7
76	52
77	6
78	11
79	7
80	10
81	13
82	49
83	6
84	6
85	16
86	5
87	42
88	27
89	8
90	7
91	22
92	41
93	29
94	5
95	19
96	5
97	5
98	31
99	10
100	6
101	34
102	26
103	72
104	7
105	9
106	16
107	84
108	29
109	7
110	5
111	11
112	27
113	36
114	6
115	10
116	14
117	19
118	6
119	7
120	6
121	11
122	31
123	42
124	44
125	70
126	30
127	30
128	28
129	5
130	7
131	6
132	44
133	25
134	10
135	5
136	5
137	4
138	28
139	38
140	5
141	13
142	7
143	37
144	29
145	21
146	7
147	5
148	41
149	13
150	10
151	26
152	13
153	33
154	13
155	10
156	6
157	25
158	17
159	12
160	8
161	6
162	10
163	40
164	9
165	10
166	9
167	5
168	17
169	16
170	29
171	9
172	18
173	10
174	10
175	28
176	13
177	7
178	17
179	8
180	34
181	6
182	28
183	6
184	30
185	40
186	5
187	7
188	44
189	30
190	14
191	9
192	12
193	8
194	61
195	14
196	6
197	12
198	9
199	19
200	36
201	24
202	11
203	6
204	22
205	14
206	8
207	7
208	6
209	7
210	8
211	27
212	11
213	9
214	5
215	16
216	29
217	11
218	7
219	55
220	45
221	53
222	13
223	8
224	7
225	63
226	6
227	5
228	6
229	5
230	18
231	26
232	27
233	6
234	5
235	15
236	53
237	34
238	6
239	10
240	7
241	22
242	33
243	7
244	29
245	7
246	22
247	31
248	6
249	23
250	28
251	37
252	43
253	6
AV  19.04743083
